borrower_id,name,signup_month,location_country,location_state_province
BORR_001,Borrower BORR_001,2021-12-01,USA,IL
BORR_002,Borrower BORR_002,2021-04-01,USA,IL
BORR_003,Borrower BORR_003,2021-09-01,USA,TX
BORR_004,Borrower BORR_004,2021-08-01,USA,CA
BORR_005,Borrower BORR_005,2021-12-01,USA,NY
BORR_006,Borrower BORR_006,2021-05-01,USA,FL
BORR_007,Borrower BORR_007,2021-07-01,USA,TX
BORR_008,Borrower BORR_008,2021-01-01,USA,TX
BORR_009,Borrower BORR_009,2022-01-01,USA,TX
BORR_010,Borrower BORR_010,2021-03-01,USA,TX
BORR_011,Borrower BORR_011,2021-05-01,USA,FL
BORR_012,Borrower BORR_012,2021-12-01,USA,NY
BORR_013,Borrower BORR_013,2021-06-01,USA,CA
BORR_014,Borrower BORR_014,2021-11-01,USA,IL
BORR_015,Borrower BORR_015,2021-08-01,USA,IL
BORR_016,Borrower BORR_016,2021-12-01,USA,TX
BORR_017,Borrower BORR_017,2021-09-01,USA,NY
BORR_018,Borrower BORR_018,2021-11-01,USA,TX
BORR_019,Borrower BORR_019,2021-01-01,USA,CA
BORR_020,Borrower BORR_020,2021-12-01,USA,IL
BORR_021,Borrower BORR_021,2021-10-01,USA,NY
BORR_022,Borrower BORR_022,2021-07-01,USA,NY
BORR_023,Borrower BORR_023,2021-12-01,USA,TX
BORR_024,Borrower BORR_024,2021-12-01,USA,FL
BORR_025,Borrower BORR_025,2021-03-01,USA,NY
BORR_026,Borrower BORR_026,2021-08-01,USA,NY
BORR_027,Borrower BORR_027,2021-02-01,USA,CA
BORR_028,Borrower BORR_028,2021-04-01,USA,TX
BORR_029,Borrower BORR_029,2021-08-01,USA,NY
BORR_030,Borrower BORR_030,2021-09-01,USA,IL
BORR_031,Borrower BORR_031,2021-08-01,USA,CA
BORR_032,Borrower BORR_032,2021-07-01,USA,IL
BORR_033,Borrower BORR_033,2021-07-01,USA,TX
BORR_034,Borrower BORR_034,2021-03-01,USA,IL
BORR_035,Borrower BORR_035,2021-11-01,USA,IL
BORR_036,Borrower BORR_036,2021-04-01,USA,FL
BORR_037,Borrower BORR_037,2021-08-01,USA,FL
BORR_038,Borrower BORR_038,2021-06-01,USA,FL
BORR_039,Borrower BORR_039,2021-08-01,USA,TX
BORR_040,Borrower BORR_040,2021-07-01,USA,NY
BORR_041,Borrower BORR_041,2021-06-01,USA,NY
BORR_042,Borrower BORR_042,2021-07-01,USA,NY
BORR_043,Borrower BORR_043,2021-08-01,USA,NY
BORR_044,Borrower BORR_044,2021-02-01,USA,NY
BORR_045,Borrower BORR_045,2021-06-01,USA,IL
BORR_046,Borrower BORR_046,2021-07-01,USA,NY
BORR_047,Borrower BORR_047,2021-11-01,USA,TX
BORR_048,Borrower BORR_048,2021-02-01,USA,NY
BORR_049,Borrower BORR_049,2021-10-01,USA,FL
BORR_050,Borrower BORR_050,2021-07-01,USA,NY
