collateral_id,loan_id,collateral_type
COLL_0000,LOAN_001,Vehicle
COLL_0001,LOAN_002,Vehicle
COLL_0002,LOAN_003,Vehicle
COLL_0003,LOAN_004,Vehicle
COLL_0004,LOAN_005,Vehicle
COLL_0005,LOAN_006,Vehicle
COLL_0006,LOAN_007,Vehicle
COLL_0007,LOAN_008,Vehicle
COLL_0008,LOAN_009,Vehicle
COLL_0009,LOAN_010,Vehicle
COLL_0010,LOAN_011,Vehicle
COLL_0011,LOAN_012,Vehicle
COLL_0012,LOAN_013,Vehicle
COLL_0013,LOAN_014,Vehicle
COLL_0014,LOAN_015,Vehicle
COLL_0015,LOAN_016,Vehicle
COLL_0016,LOAN_017,Vehicle
COLL_0017,LOAN_018,Vehicle
COLL_0018,LOAN_019,Vehicle
COLL_0019,LOAN_020,Vehicle
COLL_0020,LOAN_021,Vehicle
COLL_0021,LOAN_022,Vehicle
COLL_0022,LOAN_023,Vehicle
COLL_0023,LOAN_024,Vehicle
COLL_0024,LOAN_025,Vehicle
COLL_0025,LOAN_026,Vehicle
COLL_0026,LOAN_027,Vehicle
COLL_0027,LOAN_028,Vehicle
COLL_0028,LOAN_029,Vehicle
COLL_0029,LOAN_030,Vehicle
COLL_0030,LOAN_031,Vehicle
COLL_0031,LOAN_032,Vehicle
COLL_0032,LOAN_033,Vehicle
COLL_0033,LOAN_034,Vehicle
COLL_0034,LOAN_035,Vehicle
COLL_0035,LOAN_036,Vehicle
COLL_0036,LOAN_037,Vehicle
COLL_0037,LOAN_038,Vehicle
COLL_0038,LOAN_039,Vehicle
COLL_0039,LOAN_040,Vehicle
COLL_0040,LOAN_041,Vehicle
COLL_0041,LOAN_042,Vehicle
COLL_0042,LOAN_043,Vehicle
COLL_0043,LOAN_044,Vehicle
COLL_0044,LOAN_045,Vehicle
COLL_0045,LOAN_046,Vehicle
COLL_0046,LOAN_047,Vehicle
COLL_0047,LOAN_048,Vehicle
COLL_0048,LOAN_049,Vehicle
COLL_0049,LOAN_050,Vehicle
COLL_0050,LOAN_051,Vehicle
COLL_0051,LOAN_052,Vehicle
COLL_0052,LOAN_053,Vehicle
COLL_0053,LOAN_054,Vehicle
COLL_0054,LOAN_055,Vehicle
COLL_0055,LOAN_056,Vehicle
COLL_0056,LOAN_057,Vehicle
COLL_0057,LOAN_058,Vehicle
COLL_0058,LOAN_059,Vehicle
COLL_0059,LOAN_060,Vehicle
COLL_0060,LOAN_061,Vehicle
COLL_0061,LOAN_062,Vehicle
COLL_0062,LOAN_063,Vehicle
COLL_0063,LOAN_064,Vehicle
COLL_0064,LOAN_065,Vehicle
COLL_0065,LOAN_066,Vehicle
COLL_0066,LOAN_067,Vehicle
COLL_0067,LOAN_068,Vehicle
COLL_0068,LOAN_069,Vehicle
COLL_0069,LOAN_070,Vehicle
COLL_0070,LOAN_071,Vehicle
COLL_0071,LOAN_072,Vehicle
COLL_0072,LOAN_073,Vehicle
COLL_0073,LOAN_074,Vehicle
COLL_0074,LOAN_075,Vehicle
COLL_0075,LOAN_076,Vehicle
COLL_0076,LOAN_077,Vehicle
COLL_0077,LOAN_078,Vehicle
COLL_0078,LOAN_079,Vehicle
COLL_0079,LOAN_080,Vehicle
COLL_0080,LOAN_081,Vehicle
COLL_0081,LOAN_082,Vehicle
COLL_0082,LOAN_083,Vehicle
COLL_0083,LOAN_084,Vehicle
COLL_0084,LOAN_085,Vehicle
COLL_0085,LOAN_086,Vehicle
COLL_0086,LOAN_087,Vehicle
COLL_0087,LOAN_088,Vehicle
COLL_0088,LOAN_089,Vehicle
COLL_0089,LOAN_090,Vehicle
COLL_0090,LOAN_091,Vehicle
COLL_0091,LOAN_092,Vehicle
COLL_0092,LOAN_093,Vehicle
COLL_0093,LOAN_094,Vehicle
COLL_0094,LOAN_095,Vehicle
COLL_0095,LOAN_096,Vehicle
COLL_0096,LOAN_097,Vehicle
COLL_0097,LOAN_098,Vehicle
COLL_0098,LOAN_099,Vehicle
COLL_0099,LOAN_100,Vehicle
COLL_0100,LOAN_101,Vehicle
COLL_0101,LOAN_102,Vehicle
COLL_0102,LOAN_103,Vehicle
COLL_0103,LOAN_104,Vehicle
COLL_0104,LOAN_105,Vehicle
COLL_0105,LOAN_106,Vehicle
COLL_0106,LOAN_107,Vehicle
COLL_0107,LOAN_108,Vehicle
COLL_0108,LOAN_109,Vehicle
COLL_0109,LOAN_110,Vehicle
COLL_0110,LOAN_111,Vehicle
COLL_0111,LOAN_112,Vehicle
COLL_0112,LOAN_113,Vehicle
COLL_0113,LOAN_114,Vehicle
COLL_0114,LOAN_115,Vehicle
COLL_0115,LOAN_116,Vehicle
COLL_0116,LOAN_117,Vehicle
COLL_0117,LOAN_118,Vehicle
COLL_0118,LOAN_119,Vehicle
COLL_0119,LOAN_120,Vehicle
COLL_0120,LOAN_121,Vehicle
COLL_0121,LOAN_122,Vehicle
COLL_0122,LOAN_123,Vehicle
COLL_0123,LOAN_124,Vehicle
COLL_0124,LOAN_125,Vehicle
COLL_0125,LOAN_126,Vehicle
COLL_0126,LOAN_127,Vehicle
COLL_0127,LOAN_128,Vehicle
COLL_0128,LOAN_129,Vehicle
COLL_0129,LOAN_130,Vehicle
COLL_0130,LOAN_131,Vehicle
COLL_0131,LOAN_132,Vehicle
COLL_0132,LOAN_133,Vehicle
COLL_0133,LOAN_134,Vehicle
COLL_0134,LOAN_135,Vehicle
COLL_0135,LOAN_136,Vehicle
COLL_0136,LOAN_137,Vehicle
COLL_0137,LOAN_138,Vehicle
COLL_0138,LOAN_139,Vehicle
COLL_0139,LOAN_140,Vehicle
COLL_0140,LOAN_141,Vehicle
COLL_0141,LOAN_142,Vehicle
COLL_0142,LOAN_143,Vehicle
COLL_0143,LOAN_144,Vehicle
COLL_0144,LOAN_145,Vehicle
COLL_0145,LOAN_146,Vehicle
COLL_0146,LOAN_147,Vehicle
COLL_0147,LOAN_148,Vehicle
COLL_0148,LOAN_149,Vehicle
COLL_0149,LOAN_150,Vehicle
COLL_0150,LOAN_151,Vehicle
COLL_0151,LOAN_152,Vehicle
COLL_0152,LOAN_153,Vehicle
COLL_0153,LOAN_154,Vehicle
COLL_0154,LOAN_155,Vehicle
COLL_0155,LOAN_156,Vehicle
COLL_0156,LOAN_157,Vehicle
COLL_0157,LOAN_158,Vehicle
COLL_0158,LOAN_159,Vehicle
COLL_0159,LOAN_160,Vehicle
COLL_0160,LOAN_161,Vehicle
COLL_0161,LOAN_162,Vehicle
COLL_0162,LOAN_163,Vehicle
COLL_0163,LOAN_164,Vehicle
COLL_0164,LOAN_165,Vehicle
COLL_0165,LOAN_166,Vehicle
COLL_0166,LOAN_167,Vehicle
COLL_0167,LOAN_168,Vehicle
COLL_0168,LOAN_169,Vehicle
COLL_0169,LOAN_170,Vehicle
COLL_0170,LOAN_171,Vehicle
COLL_0171,LOAN_172,Vehicle
COLL_0172,LOAN_173,Vehicle
COLL_0173,LOAN_174,Vehicle
COLL_0174,LOAN_175,Vehicle
COLL_0175,LOAN_176,Vehicle
COLL_0176,LOAN_177,Vehicle
COLL_0177,LOAN_178,Vehicle
COLL_0178,LOAN_179,Vehicle
COLL_0179,LOAN_180,Vehicle
COLL_0180,LOAN_181,Vehicle
COLL_0181,LOAN_182,Vehicle
COLL_0182,LOAN_183,Vehicle
COLL_0183,LOAN_184,Vehicle
COLL_0184,LOAN_185,Vehicle
COLL_0185,LOAN_186,Vehicle
COLL_0186,LOAN_187,Vehicle
COLL_0187,LOAN_188,Vehicle
COLL_0188,LOAN_189,Vehicle
COLL_0189,LOAN_190,Vehicle
COLL_0190,LOAN_191,Vehicle
COLL_0191,LOAN_192,Vehicle
COLL_0192,LOAN_193,Vehicle
COLL_0193,LOAN_194,Vehicle
COLL_0194,LOAN_195,Vehicle
COLL_0195,LOAN_196,Vehicle
COLL_0196,LOAN_197,Vehicle
COLL_0197,LOAN_198,Vehicle
COLL_0198,LOAN_199,Vehicle
COLL_0199,LOAN_200,Vehicle
