collateral_id,valuation_date,collateral_value
COLL_0000,2022-02-15,7500.0
COLL_0001,2022-10-01,7500.0
COLL_0002,2021-05-12,30000.0
COLL_0003,2021-12-02,7500.0
COLL_0004,2022-06-13,7500.0
COLL_0005,2021-08-31,7500.0
COLL_0006,2022-09-26,15000.0
COLL_0007,2022-12-01,7500.0
COLL_0008,2021-01-24,30000.0
COLL_0009,2021-01-20,15000.0
COLL_0010,2022-02-26,22500.0
COLL_0011,2021-12-20,15000.0
COLL_0012,2022-06-07,7500.0
COLL_0013,2022-08-14,7500.0
COLL_0014,2021-02-14,30000.0
COLL_0015,2021-09-17,22500.0
COLL_0016,2022-11-19,15000.0
COLL_0017,2022-04-20,30000.0
COLL_0018,2022-12-24,30000.0
COLL_0019,2021-01-26,22500.0
COLL_0020,2021-12-03,22500.0
COLL_0021,2022-12-11,15000.0
COLL_0022,2022-04-09,30000.0
COLL_0023,2022-10-05,7500.0
COLL_0024,2021-11-25,15000.0
COLL_0025,2022-05-28,30000.0
COLL_0026,2021-10-23,30000.0
COLL_0027,2021-08-23,30000.0
COLL_0028,2022-10-11,7500.0
COLL_0029,2022-11-19,7500.0
COLL_0030,2022-09-11,22500.0
COLL_0031,2021-10-27,7500.0
COLL_0032,2021-05-20,15000.0
COLL_0033,2021-03-15,22500.0
COLL_0034,2022-03-21,30000.0
COLL_0035,2022-10-08,15000.0
COLL_0036,2021-05-14,7500.0
COLL_0037,2021-08-20,7500.0
COLL_0038,2022-02-08,30000.0
COLL_0039,2022-12-14,30000.0
COLL_0040,2021-11-15,22500.0
COLL_0041,2021-09-25,30000.0
COLL_0042,2022-12-19,30000.0
COLL_0043,2022-10-03,22500.0
COLL_0044,2021-10-04,22500.0
COLL_0045,2022-09-17,30000.0
COLL_0046,2022-07-02,30000.0
COLL_0047,2021-12-14,7500.0
COLL_0048,2021-01-28,22500.0
COLL_0049,2022-06-30,15000.0
COLL_0050,2021-10-26,7500.0
COLL_0051,2022-01-11,22500.0
COLL_0052,2022-04-26,22500.0
COLL_0053,2021-03-18,30000.0
COLL_0054,2021-03-10,22500.0
COLL_0055,2021-01-24,15000.0
COLL_0056,2021-12-30,7500.0
COLL_0057,2022-05-22,22500.0
COLL_0058,2022-02-26,30000.0
