loan_id,borrower_id,loan_amount,interest_rate,origination_date,maturity_date,lender_id,loan_status,loan_grade,loan_use,origination_month,credit_bureau_score,internal_score,origination_fee_amount,loan_sequence_number
LOAN_001,BORR_002,5000,13.724215232673567,2022-02-15,2023-02-15,LEND_001,Active,C,Home Improvement,2022-02-01,726,730,100.0,3
LOAN_002,BORR_019,5000,11.158166496315317,2022-10-01,2024-09-30,LEND_001,Active,A,Education,2022-10-01,759,672,100.0,1
LOAN_003,BORR_038,20000,11.5935153851242,2021-05-12,2022-05-12,LEND_001,Active,C,Debt Cons,2021-05-01,807,746,400.0,2
LOAN_004,BORR_040,5000,13.729150103992028,2021-12-02,2022-12-02,LEND_001,Active,A,Business,2021-12-01,640,588,100.0,1
LOAN_005,BORR_022,5000,8.007734065203499,2022-06-13,2024-06-12,LEND_001,Defaulted,D,Education,2022-06-01,554,669,100.0,1
LOAN_006,BORR_040,5000,9.035615704768265,2021-08-31,2022-08-31,LEND_001,Active,A,Business,2021-08-01,615,505,100.0,1
LOAN_007,BORR_005,10000,15.382741029446896,2022-09-26,2024-09-25,LEND_001,Active,A,Business,2022-09-01,588,749,200.0,2
LOAN_008,BORR_034,5000,11.873090246464749,2022-12-01,2024-11-30,LEND_001,Active,B,Education,2022-12-01,675,721,100.0,2
LOAN_009,BORR_011,20000,9.318655726818372,2021-01-24,2022-01-24,LEND_001,Active,A,Home Improvement,2021-01-01,739,559,400.0,1
LOAN_010,BORR_021,10000,9.896740746838532,2021-01-20,2023-01-20,LEND_001,Active,D,Education,2021-01-01,754,559,200.0,1
LOAN_011,BORR_023,15000,15.774856623976827,2022-02-26,2024-02-26,LEND_001,Active,C,Business,2022-02-01,616,450,300.0,1
LOAN_012,BORR_013,10000,16.673184968703282,2021-12-20,2023-12-20,LEND_001,Active,B,Debt Cons,2021-12-01,777,706,200.0,3
LOAN_013,BORR_049,5000,8.508488446173521,2022-06-07,2024-06-06,LEND_001,Active,C,Medical,2022-06-01,704,407,100.0,3
LOAN_014,BORR_002,5000,16.16285861899106,2022-08-14,2024-08-13,LEND_001,PaidOff,A,Home Improvement,2022-08-01,598,750,100.0,3
LOAN_015,BORR_030,20000,11.98334024263891,2021-02-14,2022-02-14,LEND_001,Defaulted,B,Business,2021-02-01,647,552,400.0,2
LOAN_016,BORR_011,15000,10.89286596973768,2021-09-17,2022-09-17,LEND_001,Active,C,Business,2021-09-01,668,513,300.0,2
LOAN_017,BORR_041,10000,17.95885861217929,2022-11-19,2023-11-19,LEND_001,Active,C,Education,2022-11-01,643,666,200.0,2
LOAN_018,BORR_014,20000,17.101688252669753,2022-04-20,2024-04-19,LEND_001,Active,B,Debt Cons,2022-04-01,572,440,400.0,3
LOAN_019,BORR_045,20000,14.792346132098377,2022-12-24,2024-12-23,LEND_001,Active,C,Education,2022-12-01,843,488,400.0,2
LOAN_020,BORR_017,15000,16.8367431664934,2021-01-26,2022-01-26,LEND_001,Defaulted,D,Education,2021-01-01,592,492,300.0,2
LOAN_021,BORR_039,15000,10.712261671182986,2021-12-03,2022-12-03,LEND_001,Active,C,Home Improvement,2021-12-01,727,440,300.0,2
LOAN_022,BORR_014,10000,17.516253507744274,2022-12-11,2024-12-10,LEND_001,Active,C,Medical,2022-12-01,834,407,200.0,2
LOAN_023,BORR_003,20000,14.41749672223573,2022-04-09,2024-04-08,LEND_001,Active,D,Medical,2022-04-01,561,704,400.0,3
LOAN_024,BORR_003,5000,15.363516888004707,2022-10-05,2024-10-04,LEND_001,PaidOff,A,Education,2022-10-01,570,538,100.0,1
LOAN_025,BORR_019,10000,12.670865926046439,2021-11-25,2023-11-25,LEND_001,PaidOff,B,Business,2021-11-01,833,722,200.0,3
LOAN_026,BORR_014,20000,16.621779650239365,2022-05-28,2024-05-27,LEND_001,Active,A,Education,2022-05-01,585,678,400.0,1
LOAN_027,BORR_045,20000,10.71143801410659,2021-10-23,2022-10-23,LEND_001,Active,D,Business,2021-10-01,579,599,400.0,2
LOAN_028,BORR_017,20000,9.312057442329195,2021-08-23,2022-08-23,LEND_001,Active,B,Medical,2021-08-01,653,705,400.0,1
LOAN_029,BORR_008,5000,11.47899996425694,2022-10-11,2024-10-10,LEND_001,PaidOff,A,Debt Cons,2022-10-01,669,433,100.0,2
LOAN_030,BORR_005,5000,8.477932582427556,2022-11-19,2023-11-19,LEND_001,PaidOff,A,Medical,2022-11-01,748,541,100.0,2
LOAN_031,BORR_011,15000,11.99655533764495,2022-09-11,2023-09-11,LEND_001,PaidOff,D,Education,2022-09-01,726,692,300.0,1
LOAN_032,BORR_007,5000,10.536121879791118,2021-10-27,2023-10-27,LEND_001,Defaulted,D,Debt Cons,2021-10-01,610,526,100.0,2
LOAN_033,BORR_033,10000,16.00228546939634,2021-05-20,2022-05-20,LEND_001,PaidOff,C,Debt Cons,2021-05-01,671,475,200.0,2
LOAN_034,BORR_046,15000,9.490729743756026,2021-03-15,2023-03-15,LEND_001,Active,A,Debt Cons,2021-03-01,800,611,300.0,1
LOAN_035,BORR_012,20000,17.154154655493933,2022-03-21,2024-03-20,LEND_001,PaidOff,D,Home Improvement,2022-03-01,767,461,400.0,3
LOAN_036,BORR_024,10000,12.763117125933746,2022-10-08,2023-10-08,LEND_001,PaidOff,B,Education,2022-10-01,758,477,200.0,3
LOAN_037,BORR_006,5000,12.628651816599495,2021-05-14,2023-05-14,LEND_001,Active,B,Business,2021-05-01,629,609,100.0,3
LOAN_038,BORR_043,5000,9.67020939382157,2021-08-20,2023-08-20,LEND_001,Active,C,Business,2021-08-01,811,502,100.0,3
LOAN_039,BORR_030,20000,17.882303243884415,2022-02-08,2023-02-08,LEND_001,PaidOff,D,Business,2022-02-01,698,465,400.0,1
LOAN_040,BORR_010,20000,16.441595993740133,2022-12-14,2023-12-14,LEND_001,Active,A,Education,2022-12-01,833,446,400.0,3
LOAN_041,BORR_049,15000,12.785407267719144,2021-11-15,2023-11-15,LEND_001,PaidOff,B,Education,2021-11-01,688,530,300.0,3
LOAN_042,BORR_040,20000,13.888373413306436,2021-09-25,2022-09-25,LEND_001,Active,D,Medical,2021-09-01,744,526,400.0,2
LOAN_043,BORR_024,20000,12.688605008556062,2022-12-19,2023-12-19,LEND_001,Active,B,Debt Cons,2022-12-01,625,418,400.0,1
LOAN_044,BORR_012,15000,12.157012273843659,2022-10-03,2024-10-02,LEND_001,PaidOff,D,Home Improvement,2022-10-01,826,537,300.0,3
LOAN_045,BORR_001,15000,12.182036160217258,2021-10-04,2023-10-04,LEND_001,PaidOff,C,Education,2021-10-01,593,597,300.0,1
LOAN_046,BORR_023,20000,16.645687799432018,2022-09-17,2023-09-17,LEND_001,Active,B,Medical,2022-09-01,740,656,400.0,1
LOAN_047,BORR_045,20000,10.803504242342413,2022-07-02,2023-07-02,LEND_001,Active,A,Debt Cons,2022-07-01,618,480,400.0,2
LOAN_048,BORR_046,5000,17.64188611670058,2021-12-14,2022-12-14,LEND_001,Defaulted,D,Debt Cons,2021-12-01,692,748,100.0,3
LOAN_049,BORR_006,15000,12.2925010244875,2021-01-28,2023-01-28,LEND_001,Active,C,Education,2021-01-01,643,548,300.0,1
LOAN_050,BORR_032,10000,9.156391945891,2022-06-30,2023-06-30,LEND_001,Active,A,Home Improvement,2022-06-01,817,404,200.0,3
LOAN_051,BORR_023,5000,10.4666219467125,2021-10-26,2022-10-26,LEND_001,PaidOff,C,Education,2021-10-01,742,422,100.0,3
LOAN_052,BORR_012,15000,16.169254508944213,2022-01-11,2023-01-11,LEND_001,Active,A,Education,2022-01-01,820,503,300.0,2
LOAN_053,BORR_042,15000,9.60524594787389,2022-04-26,2023-04-26,LEND_001,Active,B,Debt Cons,2022-04-01,645,742,300.0,3
LOAN_054,BORR_031,20000,15.492160283887848,2021-03-18,2022-03-18,LEND_001,Defaulted,C,Home Improvement,2021-03-01,615,675,400.0,2
LOAN_055,BORR_006,15000,15.666717946612373,2021-03-10,2023-03-10,LEND_001,PaidOff,C,Business,2021-03-01,658,688,300.0,1
LOAN_056,BORR_006,10000,8.62765687764206,2021-01-24,2023-01-24,LEND_001,Active,A,Medical,2021-01-01,585,706,200.0,1
LOAN_057,BORR_037,5000,14.959781559089702,2021-12-30,2023-12-30,LEND_001,Active,D,Business,2021-12-01,619,503,100.0,2
LOAN_058,BORR_047,15000,9.592179182608097,2022-05-22,2023-05-22,LEND_001,Defaulted,B,Home Improvement,2022-05-01,844,635,300.0,3
LOAN_059,BORR_029,20000,15.883011059549435,2022-02-26,2023-02-26,LEND_001,Active,D,Home Improvement,2022-02-01,805,636,400.0,1
LOAN_060,BORR_025,15000,16.704606224299486,2021-06-26,2022-06-26,LEND_001,Active,B,Debt Cons,2021-06-01,645,653,300.0,3
